      IPTS Basename                                                        Avg_Trans    Std_Trans
     30240 SDS_5mgmL_0M_32C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_32C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_32C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_32C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_32C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_32C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_34C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_34CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_34CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_34CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_34CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_34CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_34CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_34CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_34CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_34C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_34C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_34C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_34C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_34C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_34C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_34C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_36C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_36CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_36CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_36CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_36CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_36CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_36CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_36CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_36CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_36C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_36C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_36C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_36C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_36C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_36C_incohfit_raw                                    0.812234     0.011406
     30240 SDS_5mgmL_0M_36C_raw                                             0.812234     0.011406
     30240 SDS_5mgmL_0M_38C                                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_38CC                                                0.812264     0.008416
     30240 SDS_5mgmL_0M_38CC_bfit_kfit_errwt                                0.812264     0.008416
     30240 SDS_5mgmL_0M_38CC_bfit_kfit_errwt_raw                            0.812234     0.011406
     30240 SDS_5mgmL_0M_38CC_incohfit                                       0.812264     0.008416
     30240 SDS_5mgmL_0M_38CC_incohfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_38CC_incohfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_38CC_incohfit_raw                                   0.812234     0.011406
     30240 SDS_5mgmL_0M_38CC_raw                                            0.812234     0.011406
     30240 SDS_5mgmL_0M_38C_bfit_kfit_errwt                                 0.812264     0.008416
     30240 SDS_5mgmL_0M_38C_bfit_kfit_errwt_raw                             0.812234     0.011406
     30240 SDS_5mgmL_0M_38C_incohfit                                        0.812264     0.008416
     30240 SDS_5mgmL_0M_38C_incohfit_errwt                                  0.812264     0.008416
     30240 SDS_5mgmL_0M_38C_incohfit_errwt_raw                              0.812234     0.011406
     30240 SDS_5mgmL_0M_38C_incohfit_raw                                    0.812234     0.011406
