n,T_tot,E
0.48,0.02059089058399483,0.2818233372148476
0.485,0.02059089058399483,0.2816942756028615
0.49,0.02059089058399483,0.2816021370702964
0.495,0.02059089058399483,0.28154687327606714
0.5,0.02059089058399483,0.28152845523141484
0.505,0.02059089058399483,0.28154687327606714
0.51,0.02059089058399483,0.2816021370702963
0.515,0.02059089058399483,0.2816942756028616
0.52,0.02059089058399483,0.2818233372148476
0.525,0.02059089058399483,0.2819893896394217
0.53,0.02059089058399483,0.28219252005754913
0.535,0.02059089058399483,0.2824328351697218
0.54,0.02059089058399483,0.28271046128377386
0.545,0.02059089058399483,0.2830255444188704
0.55,0.02059089058399483,0.2833782504257727
0.555,0.02059089058399483,0.2837687651235026
0.56,0.02059089058399483,0.28419729445254016
0.5650000000000001,0.02059089058399483,0.28466406464471056
0.5700000000000001,0.02059089058399483,0.28516932240992615
0.5750000000000001,0.02059089058399483,0.28571333513997654
0.58,0.02059089058399483,0.28629639112956545
0.585,0.02059089058399483,0.28691879981481855
0.59,0.02059089058399483,0.287580892029502
0.595,0.02059089058399483,0.28828302027920577
0.6,0.02059089058399483,0.28902555903377125
0.605,0.02059089058399483,0.28980890503825335
0.61,0.02059089058399483,0.29063347764273073
0.615,0.02059089058399483,0.29149971915129763
0.62,0.02059089058399483,0.2924080951905847
0.625,0.02059089058399483,0.2933590950981849
0.63,0.02059089058399483,0.29435323233137156
0.635,0.02059089058399483,0.2953910448965239
0.64,0.02059089058399483,0.29647309579969133
0.645,0.02059089058399483,0.2975999735187548
0.65,0.02059089058399483,0.29877229249765835
0.655,0.02059089058399483,0.29999069366321596
0.66,0.02059089058399483,0.3012558449650133
0.665,0.02059089058399483,0.30256844193895377
0.67,0.02059089058399483,0.3039292082950214
0.675,0.02059089058399483,0.30533889652985535
0.68,0.02059089058399483,0.306798288564763
0.685,0.02059089058399483,0.30830819640981555
0.6900000000000001,0.02059089058399483,0.3098694628547097
0.6950000000000001,0.02059089058399483,0.3114829621870937
0.7000000000000001,0.02059089058399483,0.3131496009390972
0.705,0.02059089058399483,0.31487031866282306
0.71,0.02059089058399483,0.3166460887355986
0.715,0.02059089058399483,0.31847791919581103
0.72,0.02059089058399483,0.3203668536101826
0.725,0.02059089058399483,0.32231397197337697
0.73,0.02059089058399483,0.3243203916408656
0.735,0.02059089058399483,0.3263872682960081
0.74,0.02059089058399483,0.32851579695234967
0.745,0.02059089058399483,0.3307072129921653
0.75,0.02059089058399483,0.33296279324232914
0.755,0.02059089058399483,0.3352838570886162
